date,n_slots,unresolved_rate,import_set_share,share_import_set,share_scarcity
2026-06-01,96,0.0,0.229,0.229,
2026-06-02,96,0.0,0.125,0.125,
2026-06-03,96,0.083,0.125,0.125,
2026-06-04,96,0.01,0.25,0.25,
2026-06-05,96,0.0,0.396,0.396,
2026-06-06,96,0.052,0.115,0.115,
2026-06-07,96,0.0,0.073,0.073,
2026-06-08,96,0.167,0.229,0.229,
2026-06-09,96,0.021,0.156,0.156,
2026-06-10,96,0.01,0.229,0.229,
2026-06-11,96,0.167,0.125,0.125,
2026-06-12,96,0.01,0.146,0.146,
2026-06-13,96,0.094,0.146,0.146,
2026-06-14,96,0.0,0.26,0.26,
2026-06-15,96,0.01,0.167,0.167,
2026-06-16,96,0.073,0.25,0.25,
2026-06-17,96,0.073,0.156,0.156,
2026-06-18,96,0.0,0.281,0.281,
2026-06-19,96,0.042,0.24,0.24,
2026-06-20,96,0.094,0.115,0.115,
2026-06-21,96,0.01,0.125,0.125,
2026-06-22,96,0.0,0.344,0.344,
2026-06-23,96,0.021,0.281,0.281,
2026-06-24,96,0.031,0.26,0.26,
2026-06-25,96,0.052,0.385,0.385,
2026-06-26,96,0.073,0.24,0.24,
2026-06-27,96,0.042,0.24,0.24,
2026-06-28,96,0.021,0.177,0.177,
2026-06-29,96,0.052,0.104,0.104,
2026-06-30,96,0.042,0.24,0.24,
2026-07-01,96,0.042,0.323,0.323,
2026-07-02,96,0.021,0.094,0.094,
2026-07-03,96,0.01,0.031,0.031,
2026-07-04,96,0.0,0.073,0.073,
2026-07-05,96,0.073,0.177,0.177,
2026-07-07,96,0.198,0.135,0.135,
2026-07-08,96,0.26,0.333,0.333,
2026-07-09,96,0.021,0.646,0.646,
2026-07-10,96,0.01,0.677,0.677,
2026-07-11,96,0.0,0.656,0.656,
2026-07-12,96,0.0,0.51,0.51,
2026-07-13,96,0.094,0.677,0.677,
2026-07-14,96,0.042,0.667,0.667,
2026-07-15,96,0.042,0.562,0.562,
2026-07-16,96,0.0,0.406,0.406,
2026-07-17,96,0.0,0.615,0.615,
2026-07-18,96,0.031,0.521,0.521,
2026-07-19,96,0.0,0.427,0.427,
2026-07-20,96,0.031,0.51,0.51,
2026-07-21,96,0.0,0.615,0.615,
2026-07-22,96,0.292,0.406,0.406,
2026-07-23,96,0.052,0.479,0.479,
2026-07-24,96,0.094,0.385,0.385,
2026-07-25,96,0.031,0.448,0.448,
2026-07-26,96,0.042,0.552,0.552,
2026-07-27,96,0.01,0.417,0.417,0.115
2026-07-28,96,0.031,0.427,0.427,0.271
2026-07-29,96,0.01,0.427,0.427,0.292
2026-07-30,96,0.062,0.521,0.521,0.198
2026-07-31,96,0.021,0.365,0.365,0.375
2026-08-01,96,0.0,0.531,0.531,0.229
2026-08-03,96,0.073,0.542,0.542,0.26
2026-08-04,96,0.021,0.458,0.458,0.344
2026-08-05,96,0.073,0.469,0.469,0.167
2026-08-06,96,0.167,0.375,0.375,0.115
2026-08-07,96,0.198,0.438,0.438,0.188
2026-08-08,96,0.0,0.5,0.5,0.125
2026-08-09,96,0.0,0.469,0.469,0.146
2026-08-11,96,0.115,0.438,0.438,0.177
2026-08-12,96,0.01,0.531,0.531,0.312
2026-08-13,96,0.0,0.458,0.458,0.333
2026-08-14,96,0.01,0.5,0.5,0.333
2026-08-15,96,0.062,0.427,0.427,0.271
2026-08-16,96,0.0,0.583,0.583,0.323
2026-08-17,96,0.0,0.417,0.417,0.583
2026-08-18,96,0.0,0.573,0.573,0.427
