date,n_slots,unresolved_rate,import_set_share,share_import_set,share_ocgt,share_scarcity
2026-06-01,46,0.37,0.065,,0.087,
2026-06-02,46,0.37,0.0,,0.065,
2026-06-03,46,0.326,0.065,,0.0,
2026-06-04,46,0.5,0.109,,0.0,
2026-06-05,46,0.239,0.109,,0.0,
2026-06-06,46,0.391,0.152,,0.0,
2026-06-07,46,0.152,0.022,,0.0,
2026-06-08,46,0.217,0.065,,0.0,
2026-06-09,46,0.348,0.043,,0.0,
2026-06-10,46,0.478,0.13,,0.13,
2026-06-11,46,0.065,0.043,,0.022,
2026-06-12,46,0.326,0.087,,0.0,
2026-06-13,46,0.435,0.065,,0.0,
2026-06-14,46,0.37,0.022,,0.0,
2026-06-15,46,0.239,0.13,,0.0,
2026-06-16,46,0.435,0.13,,0.087,
2026-06-17,46,0.391,0.109,,0.065,
2026-06-18,46,0.261,0.087,,0.022,
2026-06-19,46,0.63,0.13,,0.0,
2026-06-20,46,0.217,0.087,,0.152,
2026-06-21,46,0.587,0.022,,0.022,
2026-06-22,46,0.5,0.217,,0.152,
2026-06-23,46,0.37,0.022,,0.087,
2026-06-24,46,0.457,0.109,,0.13,
2026-06-25,46,0.304,0.065,,0.0,
2026-06-26,46,0.457,0.109,,0.152,
2026-06-27,46,0.435,0.152,,0.0,
2026-06-28,46,0.326,0.13,,0.065,
2026-06-29,46,0.652,0.087,,0.217,
2026-06-30,46,0.783,0.217,,0.152,
2026-07-01,46,0.674,0.174,,0.0,
2026-07-02,46,0.37,0.022,,0.0,
2026-07-03,46,0.174,0.0,,0.0,
2026-07-04,46,0.239,0.065,,0.0,
2026-07-05,46,0.391,0.087,,0.0,
2026-07-07,46,0.609,0.239,,0.435,
2026-07-08,46,0.63,0.217,,0.63,
2026-07-09,46,0.565,0.217,,0.413,
2026-07-10,46,0.674,0.196,,0.674,
2026-07-11,46,0.826,0.174,,0.826,
2026-07-12,46,0.435,0.261,,0.239,
2026-07-13,46,0.696,0.196,,0.457,
2026-07-14,46,0.587,0.152,,0.413,
2026-07-15,46,0.543,0.217,,0.478,
2026-07-16,46,0.457,0.283,,0.391,
2026-07-17,46,0.696,0.174,,0.587,
2026-07-18,46,0.739,0.109,,0.391,
2026-07-19,46,0.674,0.0,,0.196,
2026-07-20,46,0.63,0.174,,0.478,
2026-07-21,46,0.478,0.022,,0.478,
2026-07-22,46,0.457,0.065,,0.457,
2026-07-23,46,0.63,0.109,,0.63,
2026-07-24,46,0.587,0.152,,0.413,
2026-07-25,46,0.37,0.087,,0.283,
2026-07-26,46,0.37,0.043,,0.174,
2026-07-27,46,0.5,0.0,,0.391,
2026-07-28,46,0.587,0.152,,0.326,
2026-07-29,46,0.522,0.283,,0.522,
2026-07-30,46,0.761,0.022,,0.761,
2026-07-31,46,0.565,0.109,,0.565,
2026-08-01,46,0.609,0.109,,0.326,
2026-08-02,46,0.674,0.0,,0.674,
2026-08-03,46,0.543,0.217,,0.522,
2026-08-04,46,0.587,0.261,,0.565,
2026-08-05,46,0.565,0.196,,0.413,
2026-08-06,46,0.478,0.217,,0.348,0.239
2026-08-07,46,0.478,0.174,,0.326,0.196
2026-08-08,46,0.348,0.109,,0.283,0.174
2026-08-09,46,0.565,0.043,,0.391,0.174
2026-08-10,46,0.543,0.0,,0.457,0.283
2026-08-11,46,0.261,0.043,,0.174,0.543
2026-08-12,46,0.63,0.087,,0.63,0.283
2026-08-13,46,0.478,0.109,,0.478,0.413
2026-08-14,46,0.5,0.065,,0.5,0.435
2026-08-15,46,0.435,0.087,,0.435,0.478
2026-08-16,46,0.37,0.065,,0.37,0.565
2026-08-17,46,0.043,0.0,,0.043,0.957
2026-08-18,46,0.283,0.065,0.065,0.283,0.652
