date,da_base,demand_gw,wind_gw,solar_gw,ic_net_gw,storage_pct,sin_doy,cos_doy
2021-06-01,66.69,,,,,29.1,0.5012,-0.8653
2021-06-02,61.96,,,,,29.6,0.4863,-0.8738
2021-06-03,71.8,,,,,30.1,0.4712,-0.882
2021-06-04,62.56,,,,,30.5,0.4559,-0.89
2021-06-05,59.44,,,,,31.0,0.4405,-0.8977
2021-06-06,77.34,,,,,31.5,0.425,-0.9052
2021-06-07,76.92,,,,,31.8,0.4094,-0.9124
2021-06-08,76.74,,,,,32.1,0.3936,-0.9193
2021-06-09,78.83,,,,,32.2,0.3777,-0.9259
2021-06-10,78.1,,,,,32.5,0.3617,-0.9323
2021-06-11,39.18,,,,,32.7,0.3456,-0.9384
2021-06-12,19.4,,,,,33.1,0.3294,-0.9442
2021-06-13,74.22,,,,,33.5,0.3131,-0.9497
2021-06-14,82.61,,,,,33.8,0.2967,-0.955
2021-06-15,85.0,,,,,34.0,0.2802,-0.9599
2021-06-16,77.51,,,,,34.3,0.2637,-0.9646
2021-06-17,80.12,,,,,34.6,0.247,-0.969
2021-06-18,70.1,,,,,34.9,0.2303,-0.9731
2021-06-19,58.43,,,,,35.4,0.2135,-0.9769
2021-06-20,77.63,,,,,35.8,0.1967,-0.9805
2021-06-21,84.59,,,,,36.2,0.1798,-0.9837
2021-06-22,92.84,,,,,36.3,0.1628,-0.9867
2021-06-23,94.83,,,,,36.5,0.1458,-0.9893
2021-06-24,89.73,,,,,36.7,0.1287,-0.9917
2021-06-25,79.88,,,,,37.0,0.1117,-0.9937
2021-06-26,64.96,,,,,37.3,0.0945,-0.9955
2021-06-27,88.73,,,,,37.7,0.0774,-0.997
2021-06-28,91.65,,,,,38.0,0.0602,-0.9982
2021-06-29,92.38,,,,,38.3,0.043,-0.9991
2021-06-30,89.39,,,,,38.6,0.0258,-0.9997
2021-07-01,96.58,,,,,38.9,0.0086,-1.0
2021-07-02,83.6,,,,,39.1,-0.0086,-1.0
2021-07-03,82.96,,,,,39.6,-0.0258,-0.9997
2021-07-04,93.85,,,,,40.0,-0.043,-0.9991
2021-07-05,80.68,,,,,40.4,-0.0602,-0.9982
2021-07-06,99.11,,,,,40.6,-0.0774,-0.997
2021-07-07,109.04,,,,,40.8,-0.0945,-0.9955
2021-07-08,91.42,,,,,40.9,-0.1117,-0.9937
2021-07-09,80.45,,,,,41.2,-0.1287,-0.9917
2021-07-10,77.74,,,,,41.6,-0.1458,-0.9893
2021-07-11,93.45,,,,,42.0,-0.1628,-0.9867
2021-07-12,95.02,,,,,42.2,-0.1798,-0.9837
2021-07-13,87.39,,,,,42.3,-0.1967,-0.9805
2021-07-14,89.74,,,,,42.3,-0.2135,-0.9769
2021-07-15,84.96,,,,,42.3,-0.2303,-0.9731
2021-07-16,61.69,,,,,42.5,-0.247,-0.969
2021-07-17,45.78,,,,,42.8,-0.2637,-0.9646
2021-07-18,89.21,,,,,43.0,-0.2802,-0.9599
2021-07-19,91.69,,,,,43.1,-0.2967,-0.955
2021-07-20,89.99,,,,,43.2,-0.3131,-0.9497
2021-07-21,87.56,,,,,43.3,-0.3294,-0.9442
2021-07-22,88.8,,,,,43.3,-0.3456,-0.9384
2021-07-23,75.76,,,,,43.6,-0.3617,-0.9323
2021-07-24,60.71,,,,,44.0,-0.3777,-0.9259
2021-07-25,88.5,,,,,44.4,-0.3936,-0.9193
2021-07-26,87.22,,,,,44.7,-0.4094,-0.9124
2021-07-27,79.42,,,,,45.0,-0.425,-0.9052
2021-07-28,46.1,,,,,45.4,-0.4405,-0.8977
2021-07-29,64.81,,,,,45.7,-0.4559,-0.89
2021-07-30,29.82,,,,,46.0,-0.4712,-0.882
2021-07-31,58.54,,,,,46.4,-0.4863,-0.8738
2021-08-01,80.1,,,,,46.7,-0.5012,-0.8653
2021-08-02,96.51,,,,,47.0,-0.5161,-0.8566
2021-08-03,98.17,,,,,47.3,-0.5307,-0.8475
2021-08-04,94.51,,,,,47.6,-0.5452,-0.8383
2021-08-05,71.6,,,,,47.8,-0.5596,-0.8288
2021-08-06,61.52,,,,,48.3,-0.5738,-0.819
2021-08-07,5.63,,,,,48.6,-0.5878,-0.809
2021-08-08,67.59,,,,,49.0,-0.6016,-0.7988
2021-08-09,90.77,,,,,49.2,-0.6153,-0.7883
2021-08-10,100.76,,,,,49.4,-0.6288,-0.7776
2021-08-11,106.54,,,,,49.6,-0.6421,-0.7667
2021-08-12,94.9,,,,,49.8,-0.6552,-0.7555
2021-08-13,63.37,,,,,50.1,-0.6681,-0.7441
2021-08-14,61.94,,,,,50.4,-0.6808,-0.7325
2021-08-15,67.6,,,,,50.8,-0.6933,-0.7207
2021-08-16,57.39,,,,,51.0,-0.7056,-0.7086
2021-08-17,78.64,,,,,51.2,-0.7177,-0.6964
2021-08-18,91.62,,,,,51.4,-0.7296,-0.6839
2021-08-19,102.18,,,,,51.6,-0.7412,-0.6713
2021-08-20,91.46,,,,,51.8,-0.7527,-0.6584
2021-08-21,78.05,,,,,52.2,-0.7639,-0.6453
2021-08-22,93.88,,,,,52.5,-0.7749,-0.6321
2021-08-23,95.4,,,,,52.9,-0.7856,-0.6187
2021-08-24,84.31,,,,,53.2,-0.7962,-0.6051
2021-08-25,92.62,,,,,53.5,-0.8065,-0.5913
2021-08-26,95.91,,,,,53.9,-0.8165,-0.5773
2021-08-27,84.72,,,,,54.3,-0.8264,-0.5632
2021-08-28,80.74,,,,,54.6,-0.8359,-0.5488
2021-08-29,106.58,,,,,55.0,-0.8452,-0.5344
2021-08-30,110.05,,,,,55.3,-0.8543,-0.5197
2021-08-31,111.86,,,,,55.6,-0.8631,-0.505
2021-09-01,118.19,,,,,55.8,-0.8717,-0.49
2021-09-02,110.53,,,,,56.0,-0.88,-0.475
2021-09-03,106.88,,,,,56.2,-0.8881,-0.4597
2021-09-04,97.63,,,,,56.5,-0.8958,-0.4444
2021-09-05,127.82,,,,,56.8,-0.9034,-0.4289
2021-09-06,127.98,,,,,57.1,-0.9106,-0.4133
2021-09-07,124.78,,,,,57.2,-0.9176,-0.3975
2021-09-08,130.23,,,,,57.5,-0.9243,-0.3817
2021-09-09,138.29,,,,,57.8,-0.9307,-0.3657
2021-09-10,129.02,,,,,58.1,-0.9369,-0.3496
2021-09-11,105.22,,,,,58.4,-0.9428,-0.3335
2021-09-12,141.32,,,,,58.7,-0.9484,-0.3172
2021-09-13,143.24,,,,,58.9,-0.9537,-0.3008
2021-09-14,168.21,,,,,59.1,-0.9587,-0.2844
2021-09-15,158.94,,,,,59.2,-0.9635,-0.2678
2021-09-16,156.96,,,,,59.4,-0.9679,-0.2512
2021-09-17,133.76,,,,,59.5,-0.9721,-0.2345
2021-09-18,94.1,,,,,59.8,-0.976,-0.2177
2021-09-19,150.7,,,,,60.1,-0.9796,-0.2009
2021-09-20,149.89,,,,,60.2,-0.9829,-0.184
2021-09-21,145.98,,,,,60.4,-0.9859,-0.1671
2021-09-22,73.16,,,,,60.5,-0.9887,-0.1501
2021-09-23,108.98,,,,,60.8,-0.9911,-0.133
2021-09-24,127.59,,,,,61.2,-0.9933,-0.1159
2021-09-25,125.72,,,,,61.6,-0.9951,-0.0988
2021-09-26,143.22,,,,,62.1,-0.9967,-0.0817
2021-09-27,155.09,,,,,62.5,-0.9979,-0.0645
2021-09-28,133.31,,,,,62.9,-0.9989,-0.0473
2021-09-29,112.57,,,,,63.3,-0.9995,-0.0301
2021-09-30,100.33,,,,,63.7,-0.9999,-0.0129
2021-10-01,104.06,,,,,64.1,-1.0,0.0043
2021-10-02,40.96,,,,,64.6,-0.9998,0.0215
2021-10-03,158.12,,,,,65.2,-0.9993,0.0387
2021-10-04,159.73,,,,,65.5,-0.9984,0.0559
2021-10-05,184.12,,,,,65.7,-0.9973,0.0731
2021-10-06,302.53,,,,,65.9,-0.9959,0.0903
2021-10-07,203.89,,,,,65.9,-0.9942,0.1074
2021-10-08,139.49,,,,,66.1,-0.9922,0.1245
2021-10-09,144.34,,,,,66.4,-0.9899,0.1415
2021-10-10,167.84,,,,,66.7,-0.9873,0.1586
2021-10-11,167.43,,,,,66.8,-0.9845,0.1755
2021-10-12,188.24,,,,,66.8,-0.9813,0.1925
2021-10-13,167.81,,,,,66.7,-0.9778,0.2093
2021-10-14,116.65,,,,,66.8,-0.9741,0.2261
2021-10-15,156.78,,,,,66.9,-0.9701,0.2428
2021-10-16,142.16,,,,,67.0,-0.9657,0.2595
2021-10-17,189.72,,,,,67.2,-0.9611,0.2761
2021-10-18,153.46,,,,,67.2,-0.9562,0.2926
2021-10-19,60.11,,,,,67.3,-0.9511,0.309
2021-10-20,61.5,,,,,67.5,-0.9456,0.3253
2021-10-21,71.87,,,,,67.7,-0.9399,0.3416
2021-10-22,139.38,,,,,67.5,-0.9338,0.3577
2021-10-23,99.41,,,,,67.5,-0.9275,0.3737
2021-10-24,173.65,,,,,67.5,-0.921,0.3896
2021-10-25,178.02,,,,,67.3,-0.9141,0.4054
2021-10-26,143.84,,,,,67.3,-0.907,0.4211
2021-10-27,153.54,,,,,67.6,-0.8996,0.4367
2021-10-28,112.97,,,,,67.7,-0.892,0.4521
2021-10-29,84.15,,,,,67.7,-0.8841,0.4674
2021-10-30,61.45,,,,,67.8,-0.8759,0.4825
2021-10-31,95.49,,,,,67.9,-0.8675,0.4975
2021-11-01,204.11,,,,,68.0,-0.8588,0.5124
2021-11-02,193.14,,,,,67.8,-0.8498,0.5271
2021-11-03,172.11,,,,,67.5,-0.8406,0.5416
2021-11-04,160.09,,,,,67.3,-0.8312,0.556
2021-11-05,76.76,,,,,67.1,-0.8215,0.5702
2021-11-06,35.41,,,,,67.1,-0.8115,0.5843
2021-11-07,177.41,,,,,67.2,-0.8014,0.5982
2021-11-08,163.14,,,,,66.9,-0.7909,0.6119
2021-11-09,176.26,,,,,66.7,-0.7803,0.6254
2021-11-10,190.43,,,,,66.5,-0.7694,0.6387
2021-11-11,166.9,,,,,66.2,-0.7583,0.6519
2021-11-12,156.9,,,,,65.9,-0.747,0.6649
2021-11-13,169.3,,,,,65.9,-0.7354,0.6776
2021-11-14,227.96,,,,,66.0,-0.7236,0.6902
2021-11-15,237.47,,,,,65.8,-0.7117,0.7025
2021-11-16,180.6,,,,,65.5,-0.6995,0.7147
2021-11-17,139.9,,,,,65.4,-0.6871,0.7266
2021-11-18,131.63,,,,,65.3,-0.6744,0.7383
2021-11-19,110.22,,,,,65.4,-0.6616,0.7498
2021-11-20,144.84,,,,,65.5,-0.6486,0.7611
2021-11-21,233.17,,,,,65.6,-0.6354,0.7722
2021-11-22,241.87,,,,,65.3,-0.622,0.783
2021-11-23,273.89,,,,,64.8,-0.6085,0.7936
2021-11-24,243.35,,,,,64.3,-0.5947,0.8039
2021-11-25,188.38,,,,,63.7,-0.5808,0.814
2021-11-26,202.9,,,,,63.2,-0.5667,0.8239
2021-11-27,201.17,,,,,62.7,-0.5524,0.8336
2021-11-28,265.96,,,,,62.3,-0.538,0.8429
2021-11-29,123.84,,,,,61.6,-0.5234,0.8521
2021-11-30,91.0,,,,,61.1,-0.5087,0.861
2021-12-01,195.04,,,,,60.7,-0.4938,0.8696
2021-12-02,149.97,,,,,60.2,-0.4787,0.878
2021-12-03,196.26,,,,,59.7,-0.4636,0.8861
2021-12-04,157.71,,,,,59.3,-0.4482,0.8939
2021-12-05,265.39,,,,,59.0,-0.4328,0.9015
2021-12-06,216.19,,,,,58.4,-0.4172,0.9088
2021-12-07,184.06,,,,,57.8,-0.4015,0.9159
2021-12-08,277.88,,,,,57.3,-0.3857,0.9226
2021-12-09,239.78,,,,,56.6,-0.3697,0.9291
2021-12-10,237.35,,,,,56.1,-0.3537,0.9354
2021-12-11,183.12,,,,,55.7,-0.3375,0.9413
2021-12-12,264.66,,,,,55.5,-0.3213,0.947
2021-12-13,295.82,,,,,55.2,-0.3049,0.9524
2021-12-14,295.2,,,,,54.9,-0.2885,0.9575
2021-12-15,344.3,,,,,54.5,-0.272,0.9623
2021-12-16,338.14,,,,,54.3,-0.2554,0.9668
2021-12-17,259.51,,,,,53.9,-0.2387,0.9711
2021-12-18,119.67,,,,,53.7,-0.2219,0.9751
2021-12-19,331.37,,,,,53.4,-0.2051,0.9787
2021-12-20,431.98,,,,,52.8,-0.1882,0.9821
2021-12-21,416.72,,,,,52.0,-0.1713,0.9852
2021-12-22,300.73,,,,,51.1,-0.1543,0.988
2021-12-23,196.21,,,,,50.5,-0.1373,0.9905
2021-12-24,198.29,,,,,50.2,-0.1202,0.9927
2021-12-25,172.46,,,,,50.0,-0.1031,0.9947
2021-12-26,148.83,,,,,49.8,-0.086,0.9963
2021-12-27,104.23,,,,,49.7,-0.0688,0.9976
2021-12-28,155.6,,,,,49.6,-0.0516,0.9987
2021-12-29,73.26,,,,,49.7,-0.0344,0.9994
2021-12-30,12.13,,,,,49.9,-0.0172,0.9999
2021-12-31,82.58,,,,,50.6,0.0,1.0
2022-01-01,47.35,,,,,51.0,0.0172,0.9999
2022-01-02,76.11,,,,,51.3,0.0344,0.9994
2022-01-03,153.92,,,,,51.4,0.0516,0.9987
2022-01-04,107.87,,,,,51.3,0.0688,0.9976
2022-01-05,194.1,,,,,50.9,0.086,0.9963
2022-01-06,167.18,,,,,50.3,0.1031,0.9947
2022-01-07,165.9,,,,,49.8,0.1202,0.9927
2022-01-08,146.56,,,,,49.5,0.1373,0.9905
2022-01-09,261.55,,,,,49.1,0.1543,0.988
2022-01-10,255.41,,,,,48.2,0.1713,0.9852
2022-01-11,233.32,,,,,47.3,0.1882,0.9821
2022-01-12,180.16,,,,,46.5,0.2051,0.9787
2022-01-13,178.76,,,,,45.6,0.2219,0.9751
2022-01-14,216.0,,,,,44.9,0.2387,0.9711
2022-01-15,133.1,,,,,44.3,0.2554,0.9668
2022-01-16,129.31,,,,,43.9,0.272,0.9623
2022-01-17,235.87,,,,,43.3,0.2885,0.9575
2022-01-18,172.18,,,,,42.5,0.3049,0.9524
2022-01-19,117.7,,,,,41.9,0.3213,0.947
2022-01-20,159.27,,,,,41.2,0.3375,0.9413
2022-01-21,175.76,,,,,40.3,0.3537,0.9354
2022-01-22,193.7,,,,,39.8,0.3697,0.9291
2022-01-23,245.94,,,,,39.2,0.3857,0.9226
2022-01-24,297.29,,,,,38.4,0.4015,0.9159
2022-01-25,234.98,,,,,37.5,0.4172,0.9088
2022-01-26,120.71,,,,,36.7,0.4328,0.9015
2022-01-27,174.35,,,,,36.1,0.4482,0.8939
2022-01-28,92.13,,,,,35.5,0.4636,0.8861
2022-01-29,55.3,,,,,35.3,0.4787,0.878
2022-01-30,195.2,,,,,35.1,0.4938,0.8696
2022-01-31,150.25,,,,,34.6,0.5087,0.861
2022-02-01,140.22,,,,,34.2,0.5234,0.8521
2022-02-02,193.56,,,,,33.8,0.538,0.8429
2022-02-03,132.37,,,,,33.5,0.5524,0.8336
2022-02-04,88.89,,,,,33.3,0.5667,0.8239
2022-02-05,52.78,,,,,33.2,0.5808,0.814
2022-02-06,84.68,,,,,33.1,0.5947,0.8039
2022-02-07,137.81,,,,,32.8,0.6085,0.7936
2022-02-08,165.89,,,,,32.5,0.622,0.783
