ts_utc,date,local,price,stage1,label,unresolved,gas_total_mw,lignite_mw,coal_mw,nbr_delta_min,fuel_px_src
1780264800,2026-06-01,2026-06-01T00:00:00+02:00,151.03,ccgt,ccgt,False,5371.7,7073.1,2255.6,0.0,2026-04-07 (ffill)
1780265700,2026-06-01,2026-06-01T00:15:00+02:00,138.97,ccgt,ccgt,False,5379.200000000001,7040.6,2266.2,0.0,2026-04-07 (ffill)
1780266600,2026-06-01,2026-06-01T00:30:00+02:00,140.84,ccgt,ccgt,False,5386.5,7041.3,2270.6,0.0,2026-04-07 (ffill)
1780267500,2026-06-01,2026-06-01T00:45:00+02:00,133.19,ccgt,ccgt,False,5521.5,7041.5,2280.0,0.0,2026-04-07 (ffill)
1780268400,2026-06-01,2026-06-01T01:00:00+02:00,138.53,ccgt,ccgt,False,5498.7,7075.9,2277.9,0.0,2026-04-07 (ffill)
1780269300,2026-06-01,2026-06-01T01:15:00+02:00,129.39,ccgt,ccgt,False,5500.900000000001,7056.7,2266.7,0.0,2026-04-07 (ffill)
1780270200,2026-06-01,2026-06-01T01:30:00+02:00,124.37,ccgt,ccgt,False,5259.5,7070.2,2272.4,0.0,2026-04-07 (ffill)
1780271100,2026-06-01,2026-06-01T01:45:00+02:00,120.73,ccgt,ccgt,False,5271.3,7067.8,2268.8,0.0,2026-04-07 (ffill)
1780272000,2026-06-01,2026-06-01T02:00:00+02:00,121.29,ccgt,ccgt,False,5272.2,7081.6,2274.5,0.0,2026-04-07 (ffill)
1780272900,2026-06-01,2026-06-01T02:15:00+02:00,125.7,ccgt,ccgt,False,5274.6,7086.0,2269.9,0.0,2026-04-07 (ffill)
1780273800,2026-06-01,2026-06-01T02:30:00+02:00,124.02,ccgt,ccgt,False,5278.3,7128.2,2266.1,0.0,2026-04-07 (ffill)
1780274700,2026-06-01,2026-06-01T02:45:00+02:00,121.54,ccgt,ccgt,False,5378.0,7183.1,2263.3,0.0,2026-04-07 (ffill)
1780275600,2026-06-01,2026-06-01T03:00:00+02:00,120.12,ccgt,ccgt,False,5364.5,7205.9,2259.6,0.0,2026-04-07 (ffill)
1780276500,2026-06-01,2026-06-01T03:15:00+02:00,120.14,ccgt,ccgt,False,5373.5,7212.1,2259.3,0.0,2026-04-07 (ffill)
1780277400,2026-06-01,2026-06-01T03:30:00+02:00,120.27,ccgt,ccgt,False,5363.6,7203.5,2268.7,0.0,2026-04-07 (ffill)
1780278300,2026-06-01,2026-06-01T03:45:00+02:00,120.65,ccgt,ccgt,False,5358.5,7184.3,2265.8,0.0,2026-04-07 (ffill)
1780279200,2026-06-01,2026-06-01T04:00:00+02:00,120.77,ccgt,ccgt,False,5393.599999999999,7196.1,2279.1,0.0,2026-04-07 (ffill)
1780280100,2026-06-01,2026-06-01T04:15:00+02:00,121.49,ccgt,ccgt,False,5403.1,7187.9,2268.6,0.0,2026-04-07 (ffill)
1780281000,2026-06-01,2026-06-01T04:30:00+02:00,125.99,ccgt,ccgt,False,5419.299999999999,7170.4,2253.1,0.0,2026-04-07 (ffill)
1780281900,2026-06-01,2026-06-01T04:45:00+02:00,129.7,ccgt,ccgt,False,5447.0,7191.2,2253.4,0.0,2026-04-07 (ffill)
1780282800,2026-06-01,2026-06-01T05:00:00+02:00,124.65,ccgt,ccgt,False,5504.3,7232.3,2258.1,0.0,2026-04-07 (ffill)
1780283700,2026-06-01,2026-06-01T05:15:00+02:00,130.16,ccgt,ccgt,False,5515.099999999999,7270.2,2268.3,0.0,2026-04-07 (ffill)
1780284600,2026-06-01,2026-06-01T05:30:00+02:00,138.23,ccgt,ccgt,False,5600.5,7316.5,2272.5,0.0,2026-04-07 (ffill)
1780285500,2026-06-01,2026-06-01T05:45:00+02:00,147.33,ccgt,ccgt,False,5661.5,7339.6,2282.3,0.0,2026-04-07 (ffill)
1780286400,2026-06-01,2026-06-01T06:00:00+02:00,159.76,gap,import_set,False,5687.5,7388.5,2301.6,0.0,2026-04-07 (ffill)
1780287300,2026-06-01,2026-06-01T06:15:00+02:00,172.17,ocgt,import_set,False,5699.0,7387.7,2306.6,0.0,2026-04-07 (ffill)
1780288200,2026-06-01,2026-06-01T06:30:00+02:00,162.83,gap,import_set,False,5697.3,7401.8,2307.2,0.0,2026-04-07 (ffill)
