ts_utc,date,local,price,stage1,label,unresolved,gas_total_mw,lignite_mw,coal_mw,nbr_delta_min,fuel_px_src
1780272000,2026-06-01,2026-06-01T01:00:00+01:00,106.12029226479397,ccgt,ccgt,True,,,,5.79,2026-04-07 (ffill)
1780273800,2026-06-01,2026-06-01T01:30:00+01:00,107.38928939237898,ccgt,ccgt,True,,,,6.65,2026-04-07 (ffill)
1780275600,2026-06-01,2026-06-01T02:00:00+01:00,106.37778737700984,ccgt,ccgt,False,10185.0,,0.0,7.12,2026-04-07 (ffill)
1780277400,2026-06-01,2026-06-01T02:30:00+01:00,104.22415728788644,ccgt,ccgt,False,10185.0,,0.0,4.96,2026-04-07 (ffill)
1780279200,2026-06-01,2026-06-01T03:00:00+01:00,104.87004451427076,ccgt,ccgt,False,10185.0,,0.0,5.43,2026-04-07 (ffill)
1780281000,2026-06-01,2026-06-01T03:30:00+01:00,102.32660845866559,ccgt,ccgt,False,10185.0,,0.0,0.22,2026-04-07 (ffill)
1780282800,2026-06-01,2026-06-01T04:00:00+01:00,105.3696193014181,ccgt,ccgt,False,10185.0,,0.0,4.04,2026-04-07 (ffill)
1780284600,2026-06-01,2026-06-01T04:30:00+01:00,105.92912472647703,ccgt,ccgt,False,9246.0,,0.0,5.18,2026-04-07 (ffill)
1780286400,2026-06-01,2026-06-01T05:00:00+01:00,108.0132806546067,ccgt,ccgt,False,9246.0,,0.0,4.48,2026-04-07 (ffill)
1780288200,2026-06-01,2026-06-01T05:30:00+01:00,101.01768179704546,ccgt,ccgt,False,9549.0,,0.0,5.21,2026-04-07 (ffill)
1780290000,2026-06-01,2026-06-01T06:00:00+01:00,108.3721083111598,ccgt,ccgt,False,9549.0,,0.0,2.41,2026-04-07 (ffill)
1780291800,2026-06-01,2026-06-01T06:30:00+01:00,108.30999280157258,ccgt,ccgt,False,9549.0,,0.0,2.91,2026-04-07 (ffill)
1780293600,2026-06-01,2026-06-01T07:00:00+01:00,102.93934040047114,ccgt,ccgt,False,9491.0,,0.0,5.51,2026-04-07 (ffill)
1780295400,2026-06-01,2026-06-01T07:30:00+01:00,109.85426046605978,ccgt,ccgt,False,9491.0,,0.0,6.76,2026-04-07 (ffill)
1780297200,2026-06-01,2026-06-01T08:00:00+01:00,99.08890744176459,ccgt,ccgt,False,8627.0,,0.0,28.78,2026-04-07 (ffill)
1780299000,2026-06-01,2026-06-01T08:30:00+01:00,107.62784840779756,ccgt,ccgt,False,8627.0,,0.0,6.78,2026-04-07 (ffill)
1780300800,2026-06-01,2026-06-01T09:00:00+01:00,93.1554557185872,coal,coal,True,8627.0,,0.0,7.82,2026-04-07 (ffill)
1780302600,2026-06-01,2026-06-01T09:30:00+01:00,93.83156177060727,coal,coal,True,8627.0,,0.0,4.24,2026-04-07 (ffill)
1780304400,2026-06-01,2026-06-01T10:00:00+01:00,98.46340444150131,ccgt,ccgt,False,8627.0,,0.0,1.84,2026-04-07 (ffill)
1780306200,2026-06-01,2026-06-01T10:30:00+01:00,99.64245786490406,ccgt,ccgt,False,6868.0,,0.0,5.67,2026-04-07 (ffill)
1780308000,2026-06-01,2026-06-01T11:00:00+01:00,88.65542704556972,coal,import_set,False,6868.0,,0.0,0.57,2026-04-07 (ffill)
1780309800,2026-06-01,2026-06-01T11:30:00+01:00,89.4087693140353,coal,coal,True,6630.0,,0.0,8.5,2026-04-07 (ffill)
1780311600,2026-06-01,2026-06-01T12:00:00+01:00,89.73670128713974,coal,coal,True,6630.0,,0.0,8.12,2026-04-07 (ffill)
1780313400,2026-06-01,2026-06-01T12:30:00+01:00,88.1483136296669,coal,coal,True,6276.0,,0.0,10.28,2026-04-07 (ffill)
1780315200,2026-06-01,2026-06-01T13:00:00+01:00,89.02186858316222,coal,coal,True,6276.0,,0.0,10.0,2026-04-07 (ffill)
1780317000,2026-06-01,2026-06-01T13:30:00+01:00,85.7227626459144,coal,coal,True,6276.0,,0.0,2.71,2026-04-07 (ffill)
1780318800,2026-06-01,2026-06-01T14:00:00+01:00,84.90246867756942,coal,coal,True,5561.0,,0.0,4.07,2026-04-07 (ffill)
1780320600,2026-06-01,2026-06-01T14:30:00+01:00,85.80018756512678,coal,import_set,False,6082.0,,0.0,1.7,2026-04-07 (ffill)
1780322400,2026-06-01,2026-06-01T15:00:00+01:00,94.37000174777953,coal,coal,True,6082.0,,0.0,12.34,2026-04-07 (ffill)
1780324200,2026-06-01,2026-06-01T15:30:00+01:00,107.88679435700989,ccgt,ccgt,False,6082.0,,0.0,7.01,2026-04-07 (ffill)
1780326000,2026-06-01,2026-06-01T16:00:00+01:00,109.59949383643597,ccgt,ccgt,False,8095.0,,0.0,12.89,2026-04-07 (ffill)
1780327800,2026-06-01,2026-06-01T16:30:00+01:00,109.71235768261964,ccgt,ccgt,False,9717.0,,0.0,4.41,2026-04-07 (ffill)
1780329600,2026-06-01,2026-06-01T17:00:00+01:00,115.79377175402244,ccgt,ccgt,False,11530.0,,0.0,15.85,2026-04-07 (ffill)
1780331400,2026-06-01,2026-06-01T17:30:00+01:00,115.7032366680542,ccgt,ccgt,False,13307.0,,0.0,2.86,2026-04-07 (ffill)
1780333200,2026-06-01,2026-06-01T18:00:00+01:00,130.4806962750073,gap,ccgt,True,13273.0,,0.0,2.49,2026-04-07 (ffill)
1780335000,2026-06-01,2026-06-01T18:30:00+01:00,133.16836855853717,gap,ccgt,True,14337.0,,0.0,12.95,2026-04-07 (ffill)
1780336800,2026-06-01,2026-06-01T19:00:00+01:00,136.99894793601342,gap,ocgt,True,14365.0,,0.0,16.85,2026-04-07 (ffill)
1780338600,2026-06-01,2026-06-01T19:30:00+01:00,140.65581030150753,gap,ocgt,True,14365.0,,0.0,29.91,2026-04-07 (ffill)
1780340400,2026-06-01,2026-06-01T20:00:00+01:00,136.90753949183807,gap,ocgt,True,14569.0,,0.0,23.86,2026-04-07 (ffill)
1780342200,2026-06-01,2026-06-01T20:30:00+01:00,138.66476823243605,gap,ocgt,True,14308.0,,0.0,15.39,2026-04-07 (ffill)
1780344000,2026-06-01,2026-06-01T21:00:00+01:00,131.76870161201887,gap,import_set,False,13979.0,,0.0,1.49,2026-04-07 (ffill)
1780345800,2026-06-01,2026-06-01T21:30:00+01:00,129.82864271733328,ccgt,ccgt,False,13954.0,,0.0,4.43,2026-04-07 (ffill)
1780347600,2026-06-01,2026-06-01T22:00:00+01:00,126.17403582274834,ccgt,ccgt,False,13954.0,,0.0,12.49,2026-04-07 (ffill)
1780349400,2026-06-01,2026-06-01T22:30:00+01:00,121.374195823981,ccgt,ccgt,False,13954.0,,0.0,6.64,2026-04-07 (ffill)
1780351200,2026-06-01,2026-06-01T23:00:00+01:00,111.63690404316512,ccgt,ccgt,False,12611.0,,0.0,4.28,2026-04-07 (ffill)
1780353000,2026-06-01,2026-06-01T23:30:00+01:00,113.6253711045436,ccgt,ccgt,False,11760.0,,0.0,0.03,2026-04-07 (ffill)
1780358400,2026-06-02,2026-06-02T01:00:00+01:00,103.76900323675076,ccgt,ccgt,False,9722.0,,0.0,0.46,2026-04-07 (ffill)
1780360200,2026-06-02,2026-06-02T01:30:00+01:00,103.09815347721823,ccgt,ccgt,False,9961.0,,0.0,0.23,2026-04-07 (ffill)
1780362000,2026-06-02,2026-06-02T02:00:00+01:00,104.4460149386231,ccgt,ccgt,False,9961.0,,0.0,1.27,2026-04-07 (ffill)
1780363800,2026-06-02,2026-06-02T02:30:00+01:00,106.68849775634585,ccgt,ccgt,False,9961.0,,0.0,3.95,2026-04-07 (ffill)
1780365600,2026-06-02,2026-06-02T03:00:00+01:00,102.6835956727016,ccgt,ccgt,False,9717.0,,0.0,1.14,2026-04-07 (ffill)
1780367400,2026-06-02,2026-06-02T03:30:00+01:00,104.82166965352451,ccgt,ccgt,False,9717.0,,0.0,1.64,2026-04-07 (ffill)
1780369200,2026-06-02,2026-06-02T04:00:00+01:00,114.32071155848665,ccgt,ccgt,False,9717.0,,0.0,10.42,2026-04-07 (ffill)
1780371000,2026-06-02,2026-06-02T04:30:00+01:00,118.8629571317861,ccgt,ccgt,False,9717.0,,0.0,12.03,2026-04-07 (ffill)
1780372800,2026-06-02,2026-06-02T05:00:00+01:00,131.430263141939,gap,ccgt,True,10629.0,,0.0,21.21,2026-04-07 (ffill)
1780374600,2026-06-02,2026-06-02T05:30:00+01:00,136.2051640537053,gap,ocgt,True,10629.0,,0.0,21.68,2026-04-07 (ffill)
1780376400,2026-06-02,2026-06-02T06:00:00+01:00,136.0869273083425,gap,ocgt,True,10629.0,,0.0,17.22,2026-04-07 (ffill)
1780378200,2026-06-02,2026-06-02T06:30:00+01:00,138.96963615838834,gap,ocgt,True,10629.0,,0.0,27.5,2026-04-07 (ffill)
1780380000,2026-06-02,2026-06-02T07:00:00+01:00,135.32401042205174,gap,ccgt,True,11113.0,,0.0,24.0,2026-04-07 (ffill)
1780381800,2026-06-02,2026-06-02T07:30:00+01:00,132.98147635461692,gap,ccgt,True,10802.0,,0.0,20.14,2026-04-07 (ffill)
1780383600,2026-06-02,2026-06-02T08:00:00+01:00,127.44221471337958,ccgt,ccgt,False,10802.0,,0.0,16.25,2026-04-07 (ffill)
1780385400,2026-06-02,2026-06-02T08:30:00+01:00,132.33189310955336,gap,ccgt,True,11412.0,,0.0,26.46,2026-04-07 (ffill)
1780387200,2026-06-02,2026-06-02T09:00:00+01:00,133.14485134796323,gap,ccgt,True,11217.0,,0.0,9.28,2026-04-07 (ffill)
1780389000,2026-06-02,2026-06-02T09:30:00+01:00,130.20649214659687,gap,ccgt,True,11389.0,,0.0,43.55,2026-04-07 (ffill)
1780390800,2026-06-02,2026-06-02T10:00:00+01:00,130.49489288740065,gap,ccgt,True,10754.0,,0.0,21.32,2026-04-07 (ffill)
1780392600,2026-06-02,2026-06-02T10:30:00+01:00,122.56488665492402,ccgt,ccgt,False,10243.0,,0.0,39.21,2026-04-07 (ffill)
1780394400,2026-06-02,2026-06-02T11:00:00+01:00,100.0021046251752,ccgt,ccgt,False,9262.0,,0.0,12.22,2026-04-07 (ffill)
1780396200,2026-06-02,2026-06-02T11:30:00+01:00,94.27805541442265,coal,coal,True,8372.0,,0.0,13.12,2026-04-07 (ffill)
1780398000,2026-06-02,2026-06-02T12:00:00+01:00,93.84534991202963,coal,coal,True,8429.0,,0.0,12.83,2026-04-07 (ffill)
