kind,target_time,settlement_period,value_mw,publish_time,captured_at
INDGEN,2026-08-22T06:00:00Z,15,21768,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T06:30:00Z,16,21057,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T07:00:00Z,17,21784,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T07:30:00Z,18,21339,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T08:00:00Z,19,21486,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T08:30:00Z,20,21232,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T09:00:00Z,21,20712,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T09:30:00Z,22,20525,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T10:00:00Z,23,20683,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T10:30:00Z,24,20484,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T11:00:00Z,25,20692,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T11:30:00Z,26,20533,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T12:00:00Z,27,20696,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T12:30:00Z,28,20604,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T13:00:00Z,29,20645,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T13:30:00Z,30,20832,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T14:00:00Z,31,20954,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T14:30:00Z,32,20962,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T15:00:00Z,33,21460,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T15:30:00Z,34,22453,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T16:00:00Z,35,24269,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T16:30:00Z,36,25138,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T17:00:00Z,37,26056,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T17:30:00Z,38,26386,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T18:00:00Z,39,26784,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T18:30:00Z,40,26945,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T19:00:00Z,41,26552,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T19:30:00Z,42,26558,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T20:00:00Z,43,26580,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T20:30:00Z,44,25519,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T21:00:00Z,45,26916,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T21:30:00Z,46,25605,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T22:00:00Z,47,16016,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T22:30:00Z,48,15384,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T23:00:00Z,1,15068,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-22T23:30:00Z,2,15012,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-23T00:00:00Z,3,14974,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-23T00:30:00Z,4,14704,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-23T01:00:00Z,5,14446,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-23T01:30:00Z,6,14157,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-23T02:00:00Z,7,13896,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-23T02:30:00Z,8,13986,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-23T03:00:00Z,9,13997,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
INDGEN,2026-08-23T03:30:00Z,10,13994,2026-08-22T05:46:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-08-24,,6663,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-08-25,,10714,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-08-26,,7182,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-08-27,,8394,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-08-28,,9411,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-08-29,,8751,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-08-30,,8461,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-08-31,,6262,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-09-01,,6068,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-09-02,,7160,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-09-03,,7778,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-09-04,,7778,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
MELNGC,2026-09-05,,7778,2026-08-22T05:00:00Z,2026-08-22T05:59:07+00:00
