date,da_base,demand_gw,wind_gw,solar_gw,ic_net_gw,storage_pct,sin_doy,cos_doy
2021-06-01,71.6,,,,,29.1,0.5012,-0.8653
2021-06-02,74.15,,,,,29.6,0.4863,-0.8738
2021-06-03,72.85,,,,,30.1,0.4712,-0.882
2021-06-04,71.17,,,,,30.5,0.4559,-0.89
2021-06-05,72.66,,,,,31.0,0.4405,-0.8977
2021-06-06,72.55,,,,,31.5,0.425,-0.9052
2021-06-07,69.74,,,,,31.8,0.4094,-0.9124
2021-06-08,71.76,,,,,32.1,0.3936,-0.9193
2021-06-09,71.71,,,,,32.2,0.3777,-0.9259
2021-06-10,69.49,,,,,32.5,0.3617,-0.9323
2021-06-11,71.86,,,,,32.7,0.3456,-0.9384
2021-06-12,73.93,,,,,33.1,0.3294,-0.9442
2021-06-13,76.15,,,,,33.5,0.3131,-0.9497
2021-06-14,78.38,,,,,33.8,0.2967,-0.955
2021-06-15,78.29,,,,,34.0,0.2802,-0.9599
2021-06-16,82.25,,,,,34.3,0.2637,-0.9646
2021-06-17,75.54,,,,,34.6,0.247,-0.969
2021-06-18,77.62,,,,,34.9,0.2303,-0.9731
2021-06-19,78.01,,,,,35.4,0.2135,-0.9769
2021-06-20,81.47,,,,,35.8,0.1967,-0.9805
2021-06-21,82.86,,,,,36.2,0.1798,-0.9837
2021-06-22,89.01,,,,,36.3,0.1628,-0.9867
2021-06-23,85.8,,,,,36.5,0.1458,-0.9893
2021-06-24,82.37,,,,,36.7,0.1287,-0.9917
2021-06-25,84.98,,,,,37.0,0.1117,-0.9937
2021-06-26,84.54,,,,,37.3,0.0945,-0.9955
2021-06-27,88.66,,,,,37.7,0.0774,-0.997
2021-06-28,87.18,,,,,38.0,0.0602,-0.9982
2021-06-29,87.2,,,,,38.3,0.043,-0.9991
2021-06-30,89.49,,,,,38.6,0.0258,-0.9997
2021-07-01,96.89,,,,,38.9,0.0086,-1.0
2021-07-02,92.83,,,,,39.1,-0.0086,-1.0
2021-07-03,90.06,,,,,39.6,-0.0258,-0.9997
2021-07-04,90.43,,,,,40.0,-0.043,-0.9991
2021-07-05,90.54,,,,,40.4,-0.0602,-0.9982
2021-07-06,94.38,,,,,40.6,-0.0774,-0.997
2021-07-07,93.0,,,,,40.8,-0.0945,-0.9955
2021-07-08,89.15,,,,,40.9,-0.1117,-0.9937
2021-07-09,93.81,,,,,41.2,-0.1287,-0.9917
2021-07-10,92.52,,,,,41.6,-0.1458,-0.9893
