date,da_base_GB,da_base_DE_LU
2018-04-01,48.46,27.61
2018-04-02,50.74,34.42
2018-04-03,48.61,36.53
2018-04-04,49.39,32.56
2018-04-05,47.05,35.2
2018-04-06,50.63,16.48
2018-04-07,50.03,22.98
2018-04-08,54.11,42.61
2018-04-09,50.0,36.03
2018-04-10,50.99,31.52
2018-04-11,53.57,29.84
2018-04-12,57.96,38.53
2018-04-13,52.9,35.3
2018-04-14,50.07,31.65
2018-04-15,51.41,46.63
2018-04-16,47.58,43.8
2018-04-17,49.79,41.06
2018-04-18,50.55,39.84
2018-04-19,50.38,38.63
2018-04-20,49.95,30.0
2018-04-21,48.06,18.59
2018-04-22,47.13,32.56
2018-04-23,51.25,34.32
2018-04-24,49.38,27.29
2018-04-25,50.17,30.45
2018-04-26,56.56,39.64
2018-04-27,50.7,29.09
2018-04-28,51.36,21.39
2018-04-29,52.09,12.95
2018-04-30,50.43,-5.7
2018-05-01,52.03,39.95
2018-05-02,53.45,39.99
2018-05-03,51.96,40.51
2018-05-04,49.77,28.41
2018-05-05,49.73,19.68
2018-05-06,50.44,34.4
2018-05-07,50.77,27.47
2018-05-08,50.62,36.62
2018-05-09,53.11,25.23
2018-05-10,51.85,42.2
2018-05-11,51.57,32.5
2018-05-12,50.88,16.65
2018-05-13,52.01,34.7
2018-05-14,52.21,42.43
2018-05-15,55.83,41.6
2018-05-16,52.78,35.39
2018-05-17,54.64,39.11
2018-05-18,54.57,36.36
2018-05-19,53.72,16.68
2018-05-20,54.25,5.66
2018-05-21,54.46,42.76
2018-05-22,54.81,42.33
2018-05-23,56.07,38.95
2018-05-24,57.55,40.36
2018-05-25,55.11,37.08
2018-05-26,47.05,32.88
2018-05-27,60.17,43.8
2018-05-28,54.04,42.91
2018-05-29,58.37,46.68
2018-05-30,57.88,42.25
2018-05-31,58.48,51.3
2018-06-01,56.09,40.22
2018-06-02,54.48,32.49
2018-06-03,57.24,46.84
2018-06-04,54.62,51.01
2018-06-05,57.85,49.69
2018-06-06,54.9,49.61
2018-06-07,55.83,49.4
2018-06-08,55.36,42.47
2018-06-09,54.39,39.33
2018-06-10,53.55,48.53
2018-06-11,53.33,49.73
2018-06-12,52.24,48.15
2018-06-13,47.12,43.65
2018-06-14,56.17,49.45
2018-06-15,54.37,40.21
2018-06-16,51.89,24.34
2018-06-17,51.18,44.37
2018-06-18,56.21,46.52
2018-06-19,51.87,46.8
2018-06-20,52.27,30.24
2018-06-21,52.51,20.73
2018-06-22,51.09,23.89
