date,storage_de_mcm,storage_uk_mcm
2019-12-25,22397.1,1185.2
2019-12-26,22406.1,1416.6
2019-12-27,22395.8,1429.3
2019-12-28,22374.6,1444.2
2019-12-29,22347.0,1452.6
2019-12-30,22312.5,1447.7
2019-12-31,22293.7,1436.9
2020-01-01,22241.0,1472.4
2020-01-02,22158.8,1507.6
2020-01-03,22100.6,1519.8
2020-01-04,22065.0,1523.1
2020-01-05,22026.2,1530.7
2020-01-06,21953.0,1520.0
2020-01-07,21874.9,1523.8
2020-01-08,21789.2,1516.2
2020-01-09,21752.2,1469.0
2020-01-10,21717.2,1424.4
2020-01-11,21672.0,1403.7
2020-01-12,21615.1,1394.7
2020-01-13,21556.9,1384.9
2020-01-14,21514.8,1357.5
2020-01-15,21464.3,1372.0
2020-01-16,21411.2,1352.1
2020-01-17,21356.3,1339.5
2020-01-18,21294.8,1321.6
2020-01-19,21209.8,1281.2
2020-01-20,21067.8,1242.0
2020-01-21,20915.0,1189.9
2020-01-22,20777.2,1145.2
2020-01-23,20629.1,1121.6
2020-01-24,20474.1,1104.2
2020-01-25,20363.9,1089.5
2020-01-26,20277.9,1090.4
2020-01-27,20192.9,1057.5
2020-01-28,20071.2,1013.5
2020-01-29,19960.5,1054.8
2020-01-30,19862.1,990.7
2020-01-31,19829.4,986.3
2020-02-01,19822.3,995.5
2020-02-02,19813.3,999.9
2020-02-03,19758.1,975.6
2020-02-04,19667.8,948.3
2020-02-05,19556.5,912.5
2020-02-06,19389.6,880.7
2020-02-07,19296.1,865.2
2020-02-08,19218.3,873.3
2020-02-09,19190.7,879.5
2020-02-10,19147.2,851.3
2020-02-11,19082.7,821.7
2020-02-12,18997.6,802.9
2020-02-13,18911.6,767.1
2020-02-14,18858.5,744.4
2020-02-15,18842.0,740.3
2020-02-16,18842.6,734.5
2020-02-17,18803.4,698.1
2020-02-18,18749.4,650.8
2020-02-19,18702.5,602.6
2020-02-20,18653.8,568.6
2020-02-21,18608.3,560.4
2020-02-22,18589.6,556.7
2020-02-23,18577.0,555.9
2020-02-24,18526.4,543.0
2020-02-25,18484.9,533.8
2020-02-26,18392.7,490.9
2020-02-27,18258.1,453.0
2020-02-28,18186.3,453.1
2020-02-29,18177.7,480.3
2020-03-01,18142.6,497.2
2020-03-02,18021.4,474.3
2020-03-03,17966.3,432.3
2020-03-04,17895.8,403.6
2020-03-05,17811.0,365.2
2020-03-06,17758.3,353.5
2020-03-07,17720.0,370.0
2020-03-08,17713.6,397.3
2020-03-09,17665.7,397.7
2020-03-10,17629.6,400.3
2020-03-11,17617.8,406.0
2020-03-12,17611.6,407.9
2020-03-13,17574.7,392.2
2020-03-14,17527.5,410.8
2020-03-15,17514.1,414.6
2020-03-16,17492.7,417.1
2020-03-17,17470.6,415.8
2020-03-18,17456.3,399.5
2020-03-19,17422.7,378.4
2020-03-20,17388.0,391.2
2020-03-21,17358.8,399.7
2020-03-22,17325.4,409.3
2020-03-23,17245.0,414.9
2020-03-24,17176.4,427.0
2020-03-25,17096.2,414.9
2020-03-26,17024.1,394.4
2020-03-27,16990.2,381.3
2020-03-28,17000.0,382.0
2020-03-29,16983.5,368.3
2020-03-30,16897.6,336.6
2020-03-31,16623.3,312.6
2020-04-01,16794.9,291.7
2020-04-02,16757.3,289.3
2020-04-03,16734.3,282.6
2020-04-04,16750.9,280.9
2020-04-05,16789.1,310.3
2020-04-06,16828.6,335.6
2020-04-07,16865.6,364.8
2020-04-08,16905.1,396.6
2020-04-09,16952.3,451.5
2020-04-10,17014.7,494.6
2020-04-11,17087.7,553.6
2020-04-12,17279.1,614.6
2020-04-13,17340.8,625.6
2020-04-14,17341.0,630.9
2020-04-15,17347.1,649.1
2020-04-16,17380.4,678.4
2020-04-17,17418.4,701.6
2020-04-18,17512.1,704.1
2020-04-19,17604.6,741.7
2020-04-20,17663.2,780.7
